Motif ID	1	2	3	4	5	6	7	8
M1294_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1302_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1309_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1310_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1311_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1313_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1314_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1315_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1316_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1317_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1318_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1319_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1320_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1321_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1322_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1323_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1324_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1325_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1326_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1327_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1328_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1329_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1330_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1331_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1332_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1333_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1334_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1335_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1336_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1337_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1338_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1339_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1340_1.02	1.0	1.0	0.101271422766	1.0	1.0	1.0	1.0	1.0
M1341_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1342_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1343_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1344_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1345_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1346_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1363_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1364_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1365_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1384_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
